Record_ID,Date,State,City,Waste_Type,Waste_Generated_Tons,Waste_Collected_Tons,Segregated_Tons,Recycled_Tons,Composted_Tons,Landfilled_Tons,Collection_Efficiency_Pct,Recycling_Rate_Pct,Disposal_Method,Facility_Type,Year,Month,Month_Name,Quarter,Waste_Per_Capita_Kg
107,2025-04-03,Delhi,Delhi,Dry Waste,1222.27,1210.05,1006.13,474.11,38.1,668.51,99.0,47.12,Landfill,Waste-to-Energy Plant,2025,4,Apr,Q2,0.35
108,2025-09-21,Rajasthan,Udaipur,Dry Waste,460.15,389.4,256.44,136.1,8.14,211.76,84.62,53.07,Waste-to-Energy,Composting Plant,2025,9,Sep,Q3,0.72
109,2025-03-14,Gujarat,Vadodara,Wet Waste,299.09,292.07,189.83,5.69,71.44,204.23,97.65,3.0,Recycling,Waste-to-Energy Plant,2025,3,Mar,Q1,0.6
110,2023-10-29,Gujarat,Rajkot,Wet Waste,277.47,252.61,184.81,28.24,78.15,139.67,91.04,15.28,Material Recovery,Waste-to-Energy Plant,2023,10,Oct,Q4,0.78
111,2025-03-28,Rajasthan,Udaipur,Plastic,296.05,284.58,204.97,98.38,6.22,163.78,96.13,48.0,Waste-to-Energy,Composting Plant,2025,3,Mar,Q1,0.83
112,2024-10-30,Madhya Pradesh,Gwalior,Dry Waste,605.31,563.33,340.54,189.99,12.55,340.88,93.06,55.79,Composting,Landfill,2024,10,Oct,Q4,0.39
113,2024-03-17,Kerala,Kochi,Glass,558.77,511.97,294.81,207.45,11.99,269.74,91.63,70.37,Waste-to-Energy,Landfill,2024,3,Mar,Q1,0.54
114,2023-09-21,Delhi,Delhi,Plastic,560.77,503.06,374.52,190.14,12.38,292.24,89.71,50.77,Material Recovery,Composting Plant,2023,9,Sep,Q3,0.52
115,2024-02-06,Rajasthan,Jaipur,Dry Waste,535.75,523.27,362.24,168.17,11.45,312.21,97.67,46.42,Landfill,MRF,2024,2,Feb,Q1,0.77
116,2023-07-31,Odisha,Bhubaneswar,Wet Waste,347.46,343.98,220.61,51.8,76.88,187.46,99.0,23.48,Waste-to-Energy,Recycling Facility,2023,7,Jul,Q3,0.69
117,2024-06-05,Karnataka,Mysuru,Plastic,191.2,152.46,116.68,58.09,4.4,83.23,79.74,49.79,Composting,Landfill,2024,6,Jun,Q2,0.79
118,2024-12-16,West Bengal,Durgapur,Metal,637.21,564.55,484.34,396.95,21.15,131.48,88.6,81.96,Landfill,Composting Plant,2024,12,Dec,Q4,0.51
119,2023-08-19,Karnataka,Mysuru,Plastic,312.55,291.31,164.42,75.05,5.89,188.96,93.2,45.64,Composting,MRF,2023,8,Aug,Q3,0.42
120,2025-05-28,West Bengal,Durgapur,Dry Waste,583.75,523.11,370.31,211.33,11.91,278.9,89.61,57.07,Recycling,Composting Plant,2025,5,May,Q2,0.69
121,2023-09-06,Rajasthan,Jaipur,Dry Waste,524.25,460.79,310.1,192.79,10.03,224.95,87.89,62.17,Recycling,MRF,2023,9,Sep,Q3,0.48
122,2025-06-21,Madhya Pradesh,Indore,Plastic,546.65,531.84,363.51,226.5,12.22,282.23,97.29,62.31,Landfill,Composting Plant,2025,6,Jun,Q2,0.77
123,2025-02-21,Rajasthan,Kota,Dry Waste,245.14,210.19,147.44,78.91,4.6,111.03,85.74,53.52,Recycling,Recycling Facility,2025,2,Feb,Q1,0.72
124,2025-06-21,Karnataka,Bengaluru,Dry Waste,1138.81,1032.17,664.56,356.09,23.59,640.26,90.64,53.58,Material Recovery,Landfill,2025,6,Jun,Q2,0.56
125,2024-05-13,Odisha,Rourkela,Wet Waste,464.68,406.46,223.26,9.2,94.72,294.77,87.47,4.12,Composting,MRF,2024,5,May,Q2,0.44
126,2023-01-30,West Bengal,Howrah,Wet Waste,437.28,339.12,233.42,9.38,106.64,217.3,77.55,4.02,Landfill,Composting Plant,2023,1,Jan,Q1,0.52
127,2025-04-07,Gujarat,Surat,Plastic,293.16,275.95,171.08,97.62,5.14,152.72,94.13,57.06,Landfill,Composting Plant,2025,4,Apr,Q2,0.63
128,2024-12-09,Madhya Pradesh,Gwalior,Wet Waste,582.36,571.82,457.89,45.54,158.83,324.19,98.19,9.95,Landfill,Recycling Facility,2024,12,Dec,Q4,0.58
129,2023-11-27,Delhi,New Delhi,Wet Waste,184.83,149.83,97.6,14.99,35.01,97.74,81.06,15.36,Recycling,Waste-to-Energy Plant,2023,11,Nov,Q4,0.64
130,2024-01-31,Tamil Nadu,Coimbatore,Wet Waste,314.58,285.59,225.24,18.22,107.53,158.16,90.79,8.09,Recycling,Waste-to-Energy Plant,2024,1,Jan,Q1,0.82
131,2023-02-25,Kerala,Kochi,Plastic,196.29,190.3,132.37,82.5,4.95,102.81,96.95,62.32,Landfill,MRF,2023,2,Feb,Q1,0.82
132,2024-03-15,Maharashtra,Pune,Dry Waste,897.15,828.58,626.92,273.36,27.4,488.13,92.36,43.6,Landfill,Recycling Facility,2024,3,Mar,Q1,0.64
133,2025-11-14,Tamil Nadu,Salem,Dry Waste,428.84,382.35,289.46,153.26,9.1,215.57,89.16,52.95,Recycling,Composting Plant,2025,11,Nov,Q4,0.49
134,2024-01-29,Uttar Pradesh,Agra,Dry Waste,351.84,314.57,207.23,69.5,7.35,213.8,89.41,33.54,Landfill,Composting Plant,2024,1,Jan,Q1,0.42
135,2024-02-25,Odisha,Cuttack,Plastic,413.59,352.5,274.05,141.66,8.58,176.95,85.23,51.69,Landfill,Recycling Facility,2024,2,Feb,Q1,0.38
136,2024-03-02,West Bengal,Durgapur,Wet Waste,417.74,370.55,255.1,13.55,123.36,219.53,88.7,5.31,Waste-to-Energy,MRF,2024,3,Mar,Q1,0.44
137,2024-12-20,Odisha,Bhubaneswar,Dry Waste,599.26,510.92,358.84,155.02,14.18,319.3,85.26,43.2,Recycling,Landfill,2024,12,Dec,Q4,0.6
138,2025-03-25,Maharashtra,Pune,Paper,563.86,528.76,373.33,261.34,12.93,249.86,93.78,70.0,Composting,Landfill,2025,3,Mar,Q1,0.39
139,2023-03-05,Madhya Pradesh,Jabalpur,Wet Waste,524.39,399.72,290.1,54.43,141.94,198.94,76.22,18.76,Material Recovery,Composting Plant,2023,3,Mar,Q1,0.39
140,2024-10-13,Karnataka,Mangaluru,Paper,323.17,238.25,181.41,134.3,6.88,96.81,73.72,74.03,Waste-to-Energy,Waste-to-Energy Plant,2024,10,Oct,Q4,0.66
141,2025-10-21,Madhya Pradesh,Indore,Dry Waste,194.5,182.49,115.42,59.13,3.95,117.15,93.83,51.23,Recycling,Composting Plant,2025,10,Oct,Q4,0.44
142,2024-07-24,Maharashtra,Dhule,Dry Waste,481.79,406.81,261.95,125.27,10.13,232.33,84.44,47.82,Landfill,Recycling Facility,2024,7,Jul,Q3,0.55
143,2025-10-17,Odisha,Cuttack,Wet Waste,229.71,178.56,105.8,20.11,42.46,112.66,77.73,19.01,Landfill,Composting Plant,2025,10,Oct,Q4,0.49
144,2023-03-30,Odisha,Bhubaneswar,Plastic,572.88,502.52,311.67,172.73,9.51,297.92,87.72,55.42,Material Recovery,Composting Plant,2023,3,Mar,Q1,0.58
145,2024-12-25,Delhi,Delhi,E-Waste,573.27,506.46,341.71,162.31,14.26,286.22,88.35,47.5,Composting,MRF,2024,12,Dec,Q4,0.76
146,2025-07-03,Maharashtra,Mumbai,Wet Waste,834.49,717.31,472.68,47.12,192.66,410.42,85.96,9.97,Material Recovery,MRF,2025,7,Jul,Q3,0.77
147,2025-05-17,Tamil Nadu,Coimbatore,Wet Waste,619.6,600.83,495.43,97.48,231.97,270.4,96.97,19.68,Waste-to-Energy,MRF,2025,5,May,Q2,0.35
148,2025-10-30,Madhya Pradesh,Indore,Wet Waste,534.88,493.89,354.48,50.8,173.89,257.28,92.34,14.33,Landfill,Waste-to-Energy Plant,2025,10,Oct,Q4,0.48
149,2025-08-03,Delhi,New Delhi,Dry Waste,331.73,320.1,189.29,95.95,6.86,215.03,96.49,50.69,Material Recovery,Composting Plant,2025,8,Aug,Q3,0.66
150,2023-02-08,Uttar Pradesh,Lucknow,Wet Waste,238.42,236.04,179.45,18.91,87.03,129.66,99.0,10.54,Composting,MRF,2023,2,Feb,Q1,0.6
151,2024-01-25,Rajasthan,Jaipur,Wet Waste,233.05,217.13,157.55,27.12,68.7,106.78,93.17,17.21,Landfill,MRF,2024,1,Jan,Q1,0.83
